,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Marital Status,Common law/livein","Marital Status,Common law/livein,female","Marital Status,Common law/livein,male","Marital Status,Divorced/Separated","Marital Status,Divorced/Separated,female","Marital Status,Divorced/Separated,male","Marital Status,Married","Marital Status,Married,female","Marital Status,Married,male","Marital Status,Single","Marital Status,Single,female","Marital Status,Single,male","Marital Status,Unknown","Marital Status,Unknown,female","Marital Status,Unknown,male","Marital Status,Widowed","Marital Status,Widowed,female","Marital Status,Widowed,male"
609,125.803,7.43405,09/03/2018,"Fri - Mar 9, 2018",19:01:00,MURDER,Visayan Village,Tagum City,Shooting,urban,31.0,3622,1819,1803,523,325,199,13392,6720,6672,"14,376","6,721","7,655",2,2,0,"1,457",1121,336
610,125.67299999999999,7.283639999999999,11/03/2018,"Sun - Mar 11, 2018",1:00:00,MURDER,J.P. Laurel,Panabo City,Shooting,urban,8.93,583,290,292,74,45,29,2218,1111,1107,"2,217","1,008","1,209",1,0,0,222,169,54
611,125.77799999999999,6.940869999999999,10/03/2018,"Sat - Mar 10, 2018",17:50:00,PHYSICAL INJURIES,Pangubatan (Talicod I),Samal City,Hitting With Hard Object,rural,3.96,133,66,66,16,9,7,485,243,242,449,192,257,0,0,0,52,39,14
612,125.807,7.43663,10/03/2018,"Sat - Mar 10, 2018",13:30:00,ROBBERY,Visayan Village,Tagum City,Bag/Purse Snatching,urban,31.0,3622,1819,1803,523,325,199,13392,6720,6672,"14,376","6,721","7,655",2,2,0,"1,457",1121,336
613,125.80799999999999,7.44809,11/03/2018,"Sun - Mar 11, 2018",9:10:00,MURDER,Magugpo Poblacion,Tagum City,Shooting,urban,2.43,284,143,142,41,25,16,1052,528,524,"1,129",528,601,0,0,0,114,88,26
614,125.656,7.31035,11/03/2018,"Sun - Mar 11, 2018",2:30:00,ROBBERY,New Visayas,Panabo City,Agaw-Armas,urban,22.54,1471,733,738,187,113,74,5600,2805,2796,"5,597","2,546","3,052",1,1,1,562,426,135
615,125.809,7.4375800000000005,11/03/2018,"Sun - Mar 11, 2018",19:30:00,THEFT,Visayan Village,Tagum City,Bag Snatching,urban,31.0,3622,1819,1803,523,325,199,13392,6720,6672,"14,376","6,721","7,655",2,2,0,"1,457",1121,336
616,125.824,7.4316,12/03/2018,"Mon - Mar 12, 2018",7:10:00,MURDER,Apokon,Tagum City,Shooting,urban,22.88,2673,1342,1331,386,240,147,9885,4960,4925,"10,611","4,961","5,650",1,1,0,1076,827,248
617,125.814,7.45167,12/03/2018,"Mon - Mar 12, 2018",17:30:00,THEFT,Magugpo East,Tagum City,Salisi (Establishment),urban,11.1,1297,651,646,187,116,71,4795,2406,2389,"5,147","2,406","2,741",1,1,0,522,401,120
618,125.79899999999999,7.41926,12/03/2018,"Mon - Mar 12, 2018",20:00:00,ROBBERY,Visayan Village,Tagum City,Destroying Window,urban,31.0,3622,1819,1803,523,325,199,13392,6720,6672,"14,376","6,721","7,655",2,2,0,"1,457",1121,336
619,125.774,7.44373,12/03/2018,"Mon - Mar 12, 2018",22:30:00,ROBBERY,San Miguel (Camp 4),Tagum City,With Violence Against or Intimidation of Persons,urban,13.32,1557,782,775,225,140,85,5755,2888,2867,"6,178","2,888","3,290",1,1,0,626,482,145
