,lng,lat,date,customdate,time,crime,barangay,city,modus,weathertime,time_bin,day,Region_x,Date,Time,Weather,Temp (deg celsius),Feels Like (deg celsius),Wind (km/h),Direction,Cloud %,Humidity %,Precip (mm),Pressure (mb),Sunrise,Sunset,day or night
602,125.819,7.43637,01/03/2018,"Thu - Mar 1, 2018",17:20:00,Drug Related Incident (RA 9165),Apokon,Tagum City,Not Indicated,15:00,17:00 - 17:59,Thursday,Tagum City,01/03/2018,15:00,Patchy rain possible,30,35,6,NNW,80%,72%,1.4,"1,008",5:51 AM,5:49 PM,day
603,125.705,7.076980000000001,07/03/2018,"Wed - Mar 7, 2018",22:30:00,THEFT,Peñaplata (Pob.),Samal City,Pick-Pocketing,21:00,22:00 - 22:59,Wednesday,Samal City,07/03/2018,21:00,Partly cloudy,27,28,17,NNW,11%,80%,0.0,"1,009",5:48 AM,5:49 PM,night
604,125.749,7.125210000000001,09/03/2018,"Fri - Mar 9, 2018",0:00:00,PHYSICAL INJURIES,San Antonio,Samal City,Stabbing/Hacking,0:00,00:00 - 00:59,Friday,Samal City,09/03/2018,0:00,Clear,26,27,19,NNW,0%,82%,0.0,"1,010",5:47 AM,5:49 PM,night
605,125.749,7.125889999999999,09/03/2018,"Fri - Mar 9, 2018",0:00:00,HOMICIDE,San Antonio,Samal City,Stabbing/Hacking,0:00,00:00 - 00:59,Friday,Samal City,09/03/2018,0:00,Clear,26,27,19,NNW,0%,82%,0.0,"1,010",5:47 AM,5:49 PM,night
606,125.823,7.42105,07/03/2018,"Wed - Mar 7, 2018",17:00:00,RAPE (Art. 266-A RC & R.A.8353),Apokon,Tagum City,"Force, Threat and Intimidation",15:00,17:00 - 17:59,Wednesday,Tagum City,07/03/2018,15:00,Patchy rain possible,30,34,14,N,87%,64%,0.8,"1,008",5:48 AM,5:49 PM,day
607,125.73700000000001,7.0418199999999995,09/03/2018,"Fri - Mar 9, 2018",18:00:00,RAPE (Art. 266-A RC & R.A.8353),Del Monte,Samal City,"Force, Threat and Intimidation",18:00,18:00 - 18:59,Friday,Samal City,09/03/2018,18:00,Clear,29,32,16,ESE,3%,61%,0.0,"1,009",5:47 AM,5:49 PM,night
608,125.804,7.461119999999999,09/03/2018,"Fri - Mar 9, 2018",20:30:00,Drug Related Incident (RA 9165),Apokon,Tagum City,Not Indicated,18:00,20:00 - 20:59,Friday,Tagum City,09/03/2018,18:00,Clear,29,30,10,NNE,0%,63%,0.0,"1,009",5:47 AM,5:49 PM,night
609,125.803,7.43405,09/03/2018,"Fri - Mar 9, 2018",19:01:00,MURDER,Visayan Village,Tagum City,Shooting,18:00,19:00 - 19:59,Friday,Tagum City,09/03/2018,18:00,Clear,29,30,10,NNE,0%,63%,0.0,"1,009",5:47 AM,5:49 PM,night
610,125.67299999999999,7.283639999999999,11/03/2018,"Sun - Mar 11, 2018",1:00:00,MURDER,J.P. Laurel,Panabo City,Shooting,0:00,01:00 - 01:59,Sunday,Panabo City,11/03/2018,0:00,Partly cloudy,26,26,12,NNW,22%,86%,0.0,"1,012",5:46 AM,5:49 PM,night
611,125.77799999999999,6.940869999999999,10/03/2018,"Sat - Mar 10, 2018",17:50:00,PHYSICAL INJURIES,Pangubatan (Talicod I),Samal City,Hitting With Hard Object,15:00,17:00 - 17:59,Saturday,Samal City,10/03/2018,15:00,Partly cloudy,31,35,10,NNE,23%,57%,0.0,"1,009",5:47 AM,5:49 PM,night
612,125.807,7.43663,10/03/2018,"Sat - Mar 10, 2018",13:30:00,ROBBERY,Visayan Village,Tagum City,Bag/Purse Snatching,12:00,13:00 - 13:59,Saturday,Tagum City,10/03/2018,12:00,Patchy rain possible,32,34,11,N,38%,53%,0.0,"1,011",5:47 AM,5:49 PM,day
613,125.80799999999999,7.44809,11/03/2018,"Sun - Mar 11, 2018",9:10:00,MURDER,Magugpo Poblacion,Tagum City,Shooting,9:00,09:00 - 09:59,Sunday,Tagum City,11/03/2018,9:00,Patchy rain possible,31,31,9,N,51%,70%,0.1,"1,012",5:46 AM,5:49 PM,day
614,125.656,7.31035,11/03/2018,"Sun - Mar 11, 2018",2:30:00,ROBBERY,New Visayas,Panabo City,Agaw-Armas,0:00,02:00 - 02:59,Sunday,Panabo City,11/03/2018,0:00,Partly cloudy,26,26,12,NNW,22%,86%,0.0,"1,012",5:46 AM,5:49 PM,night
615,125.809,7.4375800000000005,11/03/2018,"Sun - Mar 11, 2018",19:30:00,THEFT,Visayan Village,Tagum City,Bag Snatching,18:00,19:00 - 19:59,Sunday,Tagum City,11/03/2018,18:00,Partly cloudy,29,30,8,NNW,73%,71%,0.1,"1,011",5:46 AM,5:49 PM,night
616,125.824,7.4316,12/03/2018,"Mon - Mar 12, 2018",7:10:00,MURDER,Apokon,Tagum City,Shooting,6:00,07:00 - 07:59,Monday,Tagum City,12/03/2018,6:00,Partly cloudy,29,26,5,NNW,40%,88%,0.0,"1,011",5:46 AM,5:49 PM,day
617,125.814,7.45167,12/03/2018,"Mon - Mar 12, 2018",17:30:00,THEFT,Magugpo East,Tagum City,Salisi (Establishment),15:00,17:00 - 17:59,Monday,Tagum City,12/03/2018,15:00,Partly cloudy,32,35,7,SW,19%,47%,0.0,"1,009",5:46 AM,5:49 PM,day
618,125.79899999999999,7.41926,12/03/2018,"Mon - Mar 12, 2018",20:00:00,ROBBERY,Visayan Village,Tagum City,Destroying Window,18:00,20:00 - 20:59,Monday,Tagum City,12/03/2018,18:00,Partly cloudy,30,33,6,N,7%,61%,0.0,"1,010",5:46 AM,5:49 PM,night
619,125.774,7.44373,12/03/2018,"Mon - Mar 12, 2018",22:30:00,ROBBERY,San Miguel (Camp 4),Tagum City,With Violence Against or Intimidation of Persons,21:00,22:00 - 22:59,Monday,Tagum City,12/03/2018,21:00,Partly cloudy,28,29,5,ESE,6%,80%,0.0,"1,011",5:46 AM,5:49 PM,night
620,125.796,7.42926,13/03/2018,"Tue - Mar 13, 2018",2:00:00,THEFT,Visayan Village,Tagum City,Salisi (Establishment),0:00,02:00 - 02:59,Tuesday,Tagum City,13/03/2018,0:00,Partly cloudy,27,25,5,N,9%,88%,0.0,"1,011",5:45 AM,5:49 PM,night
621,125.79899999999999,7.46133,14/03/2018,"Wed - Mar 14, 2018",18:00:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Hitting With Hard Object,18:00,18:00 - 18:59,Wednesday,Tagum City,14/03/2018,18:00,Patchy rain possible,30,31,9,NNE,81%,71%,0.5,"1,010",5:45 AM,5:49 PM,night
622,125.8,7.459969999999999,15/03/2018,"Thu - Mar 15, 2018",0:00:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Mauling,0:00,00:00 - 00:59,Thursday,Tagum City,15/03/2018,0:00,Partly cloudy,27,26,6,ESE,21%,90%,0.0,"1,011",5:44 AM,5:49 PM,night
