,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Labor,Employed","Labor,Employed,female","Labor,Employed,male","Labor,In the Labor Force","Labor,In the Labor Force,female","Labor,In the Labor Force,male","Labor,Not in the Labor Force","Labor,Not in the Labor Force,female","Labor,Not in the Labor Force,male","Labor,Underemployed","Labor,Unemployed","Labor,Unemployed,female","Labor,Unemployed,male"
193,125.805,7.45367,22/09/2017,"Fri - Sep 22, 2017",23:10:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo West,Tagum City,Swpu (Stolen While Parked),urban,10.74,6020,2105,3915,6327,2225,4102,3757,2687,1070,1070,307,120,188
194,125.79799999999999,7.4606699999999995,23/09/2017,"Sat - Sep 23, 2017",1:45:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Mauling,urban,10.74,6020,2105,3915,6327,2225,4102,3757,2687,1070,1070,307,120,188
195,125.819,7.44067,23/09/2017,"Sat - Sep 23, 2017",4:30:00,ROBBERY,Apokon,Tagum City,Cellphone Snatching,urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
196,125.79,7.46305,23/09/2017,"Sat - Sep 23, 2017",11:00:00,PHYSICAL INJURIES,Mankilam,Tagum City,Hacking,urban,29.97,"16,795",5873,10922,"17,653",6207,11446,"10,482",7496,2987,2984,858,334,524
197,125.795,7.42846,23/09/2017,"Sat - Sep 23, 2017",14:30:00,Vehicular Traffic Accident,Visayan Village,Tagum City,Not Indicated,urban,31.0,"17,370",6074,11296,"18,257",6419,11838,"10,841",7752,3089,3086,887,345,542
198,125.82799999999999,7.42643,24/09/2017,"Sun - Sep 24, 2017",6:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Apokon,Tagum City,Swpu (Stolen While Parked),urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
199,125.773,7.44152,24/09/2017,"Sun - Sep 24, 2017",6:00:00,Vehicular Traffic Accident,San Miguel (Camp 4),Tagum City,Not Indicated,urban,13.32,7464,2610,4854,7846,2759,5087,4659,3331,1327,1326,381,148,233
200,125.825,7.42075,24/09/2017,"Sun - Sep 24, 2017",18:30:00,ROBBERY,Apokon,Tagum City,Hold Up,urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
201,125.824,7.42045,24/09/2017,"Sun - Sep 24, 2017",19:00:00,ROBBERY,Apokon,Tagum City,Hold Up,urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
202,125.816,7.46192,24/09/2017,"Sun - Sep 24, 2017",22:00:00,PHYSICAL INJURIES,Magugpo North,Tagum City,Mauling,urban,7.19,4028,1408,2619,4233,1489,2745,2514,1798,716,716,206,80,126
203,125.804,7.44667,24/09/2017,"Sun - Sep 24, 2017",19:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,1364,477,887,1434,504,930,851,609,243,242,70,27,43
204,125.79899999999999,7.4608,25/09/2017,"Mon - Sep 25, 2017",2:00:00,PHYSICAL INJURIES,Magugpo West,Tagum City,Stabbing/Hacking,urban,10.74,6020,2105,3915,6327,2225,4102,3757,2687,1070,1070,307,120,188
205,125.682,7.29679,25/09/2017,"Mon - Sep 25, 2017",7:30:00,MURDER,New Pandan (Pob.),Panabo City,Shooting,urban,9.03,2765,967,1798,2906,1022,1884,1726,1234,492,491,141,55,86
206,125.803,7.42895,25/09/2017,"Mon - Sep 25, 2017",4:00:00,ROBBERY,Visayan Village,Tagum City,Destroying Window,urban,31.0,"17,370",6074,11296,"18,257",6419,11838,"10,841",7752,3089,3086,887,345,542
207,125.682,7.3026,25/09/2017,"Mon - Sep 25, 2017",18:15:00,Drug Related Incident (RA 9165),Santo Niño (Pob.),Panabo City,Not Indicated,urban,5.89,1805,631,1174,1897,667,1230,1126,806,321,321,92,36,56
208,125.804,7.438910000000001,26/09/2017,"Tue - Sep 26, 2017",4:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,"17,370",6074,11296,"18,257",6419,11838,"10,841",7752,3089,3086,887,345,542
209,125.65,7.277019999999999,26/09/2017,"Tue - Sep 26, 2017",0:30:00,ROBBERY,Maduao,Panabo City,In an Inhabited House or Public Building or Edifice Devoted to Worship,rural,4.24,1297,454,844,1364,479,884,810,579,231,231,66,26,40
210,125.79799999999999,7.43573,26/09/2017,"Tue - Sep 26, 2017",15:40:00,Drug Related Incident (RA 9165),Visayan Village,Tagum City,Not Indicated,urban,31.0,"17,370",6074,11296,"18,257",6419,11838,"10,841",7752,3089,3086,887,345,542
211,125.822,7.4173100000000005,27/09/2017,"Wed - Sep 27, 2017",20:00:00,ROBBERY,Apokon,Tagum City,Destroying Window,urban,22.88,"12,821",4483,8337,"13,475",4738,8737,8002,5722,2280,2278,655,255,400
212,125.805,7.448860000000001,28/09/2017,"Thu - Sep 28, 2017",0:09:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Mauling,urban,2.43,1364,477,887,1434,504,930,851,609,243,242,70,27,43
213,125.79799999999999,7.443010000000001,28/09/2017,"Thu - Sep 28, 2017",2:04:00,ROBBERY,Magugpo South,Tagum City,Crowbar/Destroying Lock,urban,8.33,4669,1633,3036,4908,1726,3182,2914,2084,830,830,238,93,146
214,125.81200000000001,7.437410000000001,28/09/2017,"Thu - Sep 28, 2017",12:01:00,THEFT,Visayan Village,Tagum City,Snatching,urban,31.0,"17,370",6074,11296,"18,257",6419,11838,"10,841",7752,3089,3086,887,345,542
215,125.802,7.44433,29/09/2017,"Fri - Sep 29, 2017",6:00:00,THEFT,Magugpo South,Tagum City,Salisi,urban,8.33,4669,1633,3036,4908,1726,3182,2914,2084,830,830,238,93,146
216,125.801,7.4468,29/09/2017,"Fri - Sep 29, 2017",15:30:00,THEFT,Magugpo Poblacion,Tagum City,Plain Theft,urban,2.43,1364,477,887,1434,504,930,851,609,243,242,70,27,43
217,125.69,7.28923,29/09/2017,"Fri - Sep 29, 2017",15:30:00,Drug Related Incident (RA 9165),Cagangohan,Panabo City,Not Indicated,urban,18.74,5739,2007,3732,6033,2121,3911,3582,2562,1021,1020,293,114,179
218,125.771,7.444369999999999,30/09/2017,"Sat - Sep 30, 2017",2:00:00,PHYSICAL INJURIES,San Miguel (Camp 4),Tagum City,Mauling,urban,13.32,7464,2610,4854,7846,2759,5087,4659,3331,1327,1326,381,148,233
219,125.708,7.29815,30/09/2017,"Sat - Sep 30, 2017",4:15:00,MURDER,San Pedro,Panabo City,Shooting,urban,5.7,1747,611,1136,1836,646,1191,1090,780,311,310,89,35,55
220,125.795,7.48911,30/09/2017,"Sat - Sep 30, 2017",5:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Cuambogan,Tagum City,Swpu (Stolen While Parked),urban,8.16,4574,1600,2975,4808,1690,3117,2855,2042,813,813,234,91,143
221,125.807,7.44941,30/09/2017,"Sat - Sep 30, 2017",11:00:00,THEFT,Magugpo Poblacion,Tagum City,Qualified Theft,urban,2.43,1364,477,887,1434,504,930,851,609,243,242,70,27,43
222,125.77600000000001,7.40735,30/09/2017,"Sat - Sep 30, 2017",18:00:00,PHYSICAL INJURIES,Canocotan,Tagum City,Hacking,urban,6.26,3507,1226,2281,3686,1296,2390,2189,1565,624,623,179,70,109
