,lng,lat,date,customdate,time,crime,barangay,city,modus,placetype,land area sq km,"Poverty,poverty incidence by employed","Poverty,poverty incidence by household","Poverty,poverty incidence by population","Poverty,poverty incidence by unemployed"
360,125.913,7.520639999999999,26/11/2017,"Sun - Nov 26, 2017",14:00:00,RAPE (Art. 266-A RC & R.A.8353),San Agustin,Tagum City,"Force, Threat and Intimidation",rural,0.86,79,44,252,4
361,125.81700000000001,7.39041,27/11/2017,"Mon - Nov 27, 2017",22:24:00,PHYSICAL INJURIES,Madaum,Tagum City,Shooting,urban,8.25,763,425,2419,43
362,125.773,7.46663,28/11/2017,"Tue - Nov 28, 2017",7:00:00,PHYSICAL INJURIES,Mankilam,Tagum City,Mauling,urban,29.97,2771,1543,8792,155
363,125.803,7.4462,28/11/2017,"Tue - Nov 28, 2017",0:10:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo Poblacion,Tagum City,Swpu (Stolen While Parked),urban,2.43,225,125,714,13
364,125.806,7.44765,28/11/2017,"Tue - Nov 28, 2017",22:30:00,PHYSICAL INJURIES,Magugpo Poblacion,Tagum City,Hacking,urban,2.43,225,125,714,13
365,125.68299999999999,7.2887,28/11/2017,"Tue - Nov 28, 2017",22:30:00,ROBBERY,Cagangohan,Panabo City,Hold Up,urban,18.74,947,544,3098,53
366,125.755,7.37896,29/11/2017,"Wed - Nov 29, 2017",14:10:00,Vehicular Traffic Accident,Bincungan,Tagum City,Not Indicated,rural,3.25,301,167,954,17
367,125.814,7.4558,29/11/2017,"Wed - Nov 29, 2017",22:00:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Magugpo North,Tagum City,Swpu (Stolen While Parked),urban,7.19,665,370,2109,37
368,125.819,7.38973,30/11/2017,"Thu - Nov 30, 2017",15:30:00,PHYSICAL INJURIES,Madaum,Tagum City,Mauling,urban,8.25,763,425,2419,43
369,125.80799999999999,7.44005,30/11/2017,"Thu - Nov 30, 2017",20:30:00,ANTI-CARNAPPING ACT (R.A. 6539) MC,Visayan Village,Tagum City,Swpu (Stolen While Parked),urban,31.0,2866,1596,9093,161
370,125.82700000000001,7.4126199999999995,01/12/2017,"Fri - Dec 1, 2017",3:00:00,THEFT,Apokon,Tagum City,Salisi,urban,22.88,2115,1178,6712,119
371,125.811,7.416239999999999,01/12/2017,"Fri - Dec 1, 2017",0:25:00,THEFT,Madaum,Tagum City,Applied as Helper,urban,8.25,763,425,2419,43
372,125.804,7.44992,01/12/2017,"Fri - Dec 1, 2017",19:45:00,ROBBERY,Magugpo Poblacion,Tagum City,Cellphone Snatching,urban,2.43,225,125,714,13
373,125.806,7.4485600000000005,01/12/2017,"Fri - Dec 1, 2017",20:25:00,ROBBERY,Magugpo Poblacion,Tagum City,Hold-Up W/ Sharp Object,urban,2.43,225,125,714,13
374,125.788,7.45688,01/12/2017,"Fri - Dec 1, 2017",20:55:00,PHYSICAL INJURIES,Mankilam,Tagum City,Stabbing/Hacking,urban,29.97,2771,1543,8792,155
